date,dow,eurusd,gbpusd,gold,ust10y,total_pnl
2019-12-11,37131.85556701304,50610.03163126632,-11410.314924692466,69738.8212771799,107499.99999999981,253570.39355076657
2019-12-12,276814.40850121586,77526.3679798055,52547.40689970338,-27562.27031441516,-267500.0,111825.91306630959
2019-12-13,4142.961497652919,89798.85057471381,208333.3333333326,91020.65862139352,195000.00000000017,588295.8040270931
2019-12-16,125032.96561126698,-110852.8517790086,-90538.03339517664,-6099.213879098286,-182499.99999999988,-264957.13344201643
2019-12-17,38760.952815726225,23372.88745055677,-60660.52572455627,-4067.7966101704264,7499.999999999729,4905.517931556025
2019-12-18,-34520.623932506875,25141.420490260025,-113019.89150090396,-20344.50020344525,-87499.9999999998,-230243.59514659588
2019-12-19,170641.7444070829,-62774.639045826145,-26672.763298277725,57041.96658970706,40000.00000000004,178236.30865268613
2019-12-20,96365.14975529753,17992.083483271414,-53488.194391380086,-35516.16831281301,-22500.0000000003,2852.8705343755573
2019-12-23,118622.01103563175,-82689.19647671958,-9218.713989399552,79338.17047535042,-45000.00000000004,61052.271044863
2019-12-24,-44228.80314995325,25270.7581227396,-46136.10149942327,0.0,-0.0,-65094.14652663692
2019-12-26,130031.26375350615,1802.7762754657672,22402.47199691181,271163.57504215813,75000.00000000007,500400.0870680419
2019-12-27,29189.707418122434,10815.682739977461,21581.624788036268,44722.71914132464,77499.9999999998,183809.7340874606
2019-12-30,-223743.8235854733,145932.79884695055,69220.11998154121,6936.187078875333,-52499.99999999977,-54154.71767810597
2019-12-31,93826.39534482929,35771.77606868265,16040.329972502042,49521.29415648599,-60000.00000000005,135159.79554249992
2020-01-02,405158.79634626437,33922.5138368171,104476.473728361,49358.34155972319,92500.00000000036,685416.125471166
2020-01-03,-283600.28820040904,-89118.61687906919,-73207.54716981127,243030.5018038692,234999.99999999965,32104.049554579367
2020-01-06,83726.56005542933,-16113.150120846687,-55500.64624040063,164601.08443067444,-57499.999999999774,119213.84812485671
2020-01-07,-145958.42022786188,64504.56907364011,68807.33944954142,53632.99706295344,-40000.00000000004,986.4853582730502
2020-01-08,197642.50089561398,-76799.4284693696,-42520.880789673756,-137422.06387581056,-117500.00000000038,-176599.87223924033
2020-01-09,257899.69695693915,-75302.55490811211,-6862.894616439518,-54899.19095929219,40000.00000000004,160835.05647309535
2020-01-10,-160913.28836995654,-3599.3881040208285,-26707.363601679022,56067.53882838045,82500.00000000035,-52652.50124727556
2020-01-13,101124.87020261018,10800.10800107889,-18362.662586074443,-87640.4494382016,-57500.00000000033,-51578.133820587296
2020-01-14,39495.55558245832,34181.88360169161,-44458.07143952152,-58124.51562903609,75000.00000000007,46094.852115592395
2020-01-15,109512.30611821127,-8979.885057469606,26947.95195565147,94333.50622406356,75000.00000000007,296813.87924045674
2020-01-16,322412.30001012643,41326.02641272243,13821.700069107656,-29959.40983184009,-52499.99999999977,295100.61666011665
2020-01-17,60281.30593454084,-25103.10202617605,29138.86971857904,94899.93544221975,-67500.00000000033,91717.00906916325
2020-01-21,-181343.9370862152,-77199.28186714853,-55814.66472971974,-23094.688221707573,167500.00000000044,-169952.57190479062
2020-01-22,-11712.204805857662,-19825.17797602723,32292.787944026015,-10601.387818043317,-0.0,-9845.982655902193
2020-01-23,-31394.899039856038,18040.772145044848,74340.89515634623,89693.30675753784,72499.99999999978,223180.07501907268
2020-01-24,-204478.10689198764,-73900.50468637278,-19018.638265499987,62316.246964079226,147499.99999999985,-87581.00287978133
2020-01-27,-548040.6337002796,-54274.084124827925,-44207.317073170496,54420.4697345807,190000.00000000017,-402101.56516369706
2020-01-28,229422.33965755455,-9070.29478457888,-1531.159087428957,-72298.325722982,-90000.00000000007,56522.56006256463
2020-01-29,14135.087569653315,5444.6460980051015,-26799.387442573152,5735.40657659799,117499.99999999983,116015.75280168308
2020-01-30,152244.08332158657,-10886.32858568639,-2303.2629558539243,130908.39597401094,90000.00000000007,359962.88775405724
2020-01-31,-731800.4091555463,21784.51484070365,51451.38995545917,-5683.612251340953,95000.00000000009,-569248.1166107244
2020-02-03,178096.49834035436,110617.46305195185,71052.02842081271,-54014.78299324025,-0.0,305751.20681987866
2020-02-04,502598.4328768418,-48692.515779980014,-140342.8918221816,-254882.06949023594,-207499.99999999994,-148819.04421555565
2020-02-05,587090.9894357845,-28925.246316551245,27698.69969992955,71594.42724458232,-115000.0000000001,542458.8700637451
2020-02-06,106251.6109979772,-81470.08237530562,-27622.18982582554,70291.43664141535,12500.00000000029,79950.77543826168
2020-02-07,-330298.705537862,-34539.17469550927,-51550.35777487216,33544.18248035396,164999.9999999996,-217844.05552788987
2020-02-10,209633.12099196884,-61913.86688518818,-29389.017788089557,58332.27081473935,77500.00000000035,254162.5071334308
2020-02-11,-573.8328138094051,-65759.43008493957,20167.54576481761,-86683.1777481436,-107500.00000000038,-240348.89488207534
2020-02-12,328859.4134376033,10996.059745260745,30190.43195541027,17245.784363822957,-99999.99999999953,287291.6895020977
2020-02-13,-151730.44137980207,-78761.7913728389,771.7835918796823,73688.91157330303,32499.999999999753,-123531.53758745852
2020-02-14,-30011.919121268325,-55167.34093416575,68683.4388022839,72376.35705669488,72499.99999999978,128380.53580354448
2020-02-18,-197500.9932621502,-11063.986723214291,-29125.469456580122,163960.32097049317,80000.00000000007,6269.8715285486105
2020-02-19,138696.41651891416,-83025.83025830534,-5380.890152970607,70312.49999999933,-35000.00000000003,85602.19610763752
2020-02-20,-152710.42042685422,27790.64381658092,-56914.320873712175,84914.46345256559,112500.00000000038,15580.365968580489
2020-02-21,-272585.74441187014,-40703.052728954244,-34808.16831683109,259804.52802177423,134999.99999999956,46707.5625641183
2020-02-24,-1245372.4957669964,94549.49944383006,55111.387099278094,253557.09595038634,235000.00000000023,-607154.5132735017
2020-02-25,-1100841.1776487082,18451.886705412868,-20842.982862437908,-228713.22650083737,117499.99999999983,-1214445.500306571
2020-02-26,-159960.57805073404,60835.10000921777,58791.67633635163,-62845.34580120238,50000.000000000044,-53179.147506366964
2020-02-27,-1546252.8363996935,7351.589781290358,-73829.11635776423,0.0,27500.000000000302,-1585230.3629761671
2020-02-28,-485309.68725452485,203931.65533712844,-13945.920818161372,-694207.3170731722,429999.9999999998,-559531.2698087301
2020-03-02,1782358.9417443043,98208.60234609708,-63620.14120567916,270443.06630010897,97499.99999999981,2184890.4691848313
2020-03-03,-1030091.0149000181,168310.56013030477,-31232.919497150568,469132.70112416084,195000.00000000017,-228880.6731427029
2020-03-04,1584678.021453536,66403.44580043145,42296.545782094516,-9134.644662321945,45000.00000000004,1729243.3683737402
2020-03-05,-1252647.5719117096,-75127.44834988317,42118.399500818974,231247.3341051746,164999.99999999985,-889409.2866555994
2020-03-06,-343685.3017922559,152616.93150193433,59029.126213590025,39606.33701391991,550000.0000000002,457567.09293718863
2020-03-09,-2725002.8803647254,288667.1418389186,114276.88981545891,33217.620301652096,517499.9999999999,-1771341.2284086957
2020-03-10,1712710.8190760799,21078.51747759959,-18322.009313688213,-137951.62735144972,-622500.0,955015.6998885416
2020-03-11,-2049427.2960121746,-142130.19828039908,-126195.0286806901,-160026.52040262634,-179999.99999999988,-2657779.04337589
2020-03-12,-3495955.117814041,-97198.90430325728,-71262.58714174938,-476117.9480930933,-72500.00000000006,-4213034.5573521415
2020-03-13,3277026.8039330943,-136743.02965725583,-193477.92167264898,-694645.4413892905,-254999.99999999994,1997160.411213899
2020-03-16,-4524291.349552005,-53643.27223960963,-135242.6412092278,-294913.2414066097,557499.9999999999,-4450590.5044074515
2020-03-17,1818365.090655486,14343.343792022622,-107258.0645161303,393700.7874015752,-672500.0,1446651.1573329535
2020-03-18,-2205832.357852056,-263370.06181134324,-118203.30969267157,-468227.42474916467,-672500.0,-3728133.154105236
2020-03-19,331146.1124523374,-98039.21568627194,-409998.3501072424,13199.756312189947,367500.00000000006,203808.30297101304
2020-03-20,-1591180.7475311384,-556467.7978471067,-112688.17204301174,54781.550114976206,452500.0000000001,-1753055.1673062802
2020-03-23,-1062468.5120147183,69437.9281223556,112232.46911432172,838948.7870619938,434999.99999999977,393150.6722839527
